dataset_name,column_name,count,mean,median,std_dev,min,q1,q3,max,iqr,coefficient_of_variation
NFHS_5_FACTSHEETS,NUMBER_OF_WOMEN_AGE_15_49_YEARS_INTERVIEWED,111,26094.2342,9133.0,86416.5238,26.0,2844.5,21632.0,724115.0,18787.5,3.3117
NFHS_5_FACTSHEETS,NUMBER_OF_MEN_AGE_15_54_YEARS_INTERVIEWED,111,3669.8739,1308.0,12096.4781,0.0,430.0,3147.5,101839.0,2717.5,3.2962
NFHS_5_FACTSHEETS,FEMALE_POPULATION_AGE_6_YEARS_AND_ABOVE_WHO_EVER_ATTENDED_SCHOOL,111,76.8293,79.33,17.1234,-69.23,69.84,84.915,97.59,15.075,0.2229
NFHS_5_FACTSHEETS,POPULATION_BELOW_AGE_15_YEARS,111,24.6641,23.85,4.0963,18.09,21.98,26.35,39.21,4.37,0.1661
NFHS_5_FACTSHEETS,SEX_RATIO_OF_THE_TOTAL_POPULATION_FEMALES_PER_1_000_MALES,111,1008.6356,1014.53,71.6868,775.2,964.245,1049.785,1192.9,85.54,0.0711
NFHS_5_FACTSHEETS,SEX_RATIO_AT_BIRTH_FOR_CHILDREN_BORN_IN_THE_LAST_FIVE_YEARS_FEMALES_PER_1_000_MALES,110,891.0918,933.045,327.7791,-1520.1,892.6325,967.175,1267.53,74.5425,0.3678
NFHS_5_FACTSHEETS,CHILDREN_UNDER_AGE_5_YEARS_WHOSE_BIRTH_WAS_REGISTERED_WITH_THE_CIVIL_AUTHORITY,110,93.3284,96.23,7.1501,70.77,90.9225,98.105,100.0,7.1825,0.0766
NFHS_5_FACTSHEETS,DEATHS_IN_THE_LAST_3_YEARS_REGISTERED_WITH_THE_CIVIL_AUTHORITY,109,71.0539,80.21,35.1104,-94.8,65.82,91.17,100.0,25.35,0.4941
NFHS_5_FACTSHEETS,POPULATION_LIVING_IN_HOUSEHOLDS_WITH_ELECTRICITY,111,98.2716,99.26,2.2482,88.92,97.62,99.62,100.0,2.0,0.0229
NFHS_5_FACTSHEETS,POPULATION_LIVING_IN_HOUSEHOLDS_WITH_AN_IMPROVED_DRINKING_WATER_SOURCE1,111,94.7061,96.38,5.6243,68.91,92.905,98.605,100.0,5.7,0.0594
NFHS_5_FACTSHEETS,POPULATION_LIVING_IN_HOUSEHOLDS_THAT_USE_AN_IMPROVED_SANITATION_FACILITY2,111,77.0316,78.75,12.7359,34.78,68.96,85.97,100.0,17.01,0.1653
NFHS_5_FACTSHEETS,HOUSEHOLDS_USING_CLEAN_FUEL_FOR_COOKING3,110,68.202,74.52,24.2804,19.22,45.5275,90.025,98.97,44.4975,0.356
NFHS_5_FACTSHEETS,HOUSEHOLDS_USING_IODIZED_SALT,110,96.0825,97.435,3.9357,78.44,94.4425,98.945,100.0,4.5025,0.041
NFHS_5_FACTSHEETS,HOUSEHOLDS_WITH_ANY_USUAL_MEMBER_COVERED_UNDER_A_HEALTH_INSURANCE_FINANCING_SCHEME,110,39.4331,35.395,20.4141,1.44,24.99,57.6525,90.39,32.6625,0.5177
NFHS_5_FACTSHEETS,CHILDREN_AGE_5_YEARS_WHO_ATTENDED_PRE_PRIMARY_SCHOOL_DURING_THE_SCHOOL_YEAR_2019_20,106,14.4281,11.025,12.0171,-21.37,6.29,22.0225,42.61,15.7325,0.8329
