dataset_name,column_name,total_records,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percentage
NFHS_5_FACTSHEETS,CHILDREN_UNDER_AGE_3_YEARS_BREASTFED_WITHIN_ONE_HOUR_OF_BIRTH15,110,37.9075,58.3875,20.48,7.1875,89.1075,2,1.82
NFHS_5_FACTSHEETS,CHILDREN_UNDER_AGE_6_MONTHS_EXCLUSIVELY_BREASTFED16,97,55.05,70.26,15.21,32.235,93.075,11,11.34
NFHS_5_FACTSHEETS,CHILDREN_AGE_6_8_MONTHS_RECEIVING_SOLID_OR_SEMI_SOLID_FOOD_AND_BREASTMILK16,88,38.795,57.805,19.01,10.28,86.32,14,15.91
NFHS_5_FACTSHEETS,BREASTFEEDING_CHILDREN_AGE_6_23_MONTHS_RECEIVING_AN_ADEQUATE_DIET16_17,107,8.41,18.48,10.07,-6.695,33.585,9,8.41
NFHS_5_FACTSHEETS,NON_BREASTFEEDING_CHILDREN_AGE_6_23_MONTHS_RECEIVING_AN_ADEQUATE_DIET16_17,84,6.5975,19.3925,12.795,-12.595,38.585,11,13.1
NFHS_5_FACTSHEETS,TOTAL_CHILDREN_AGE_6_23_MONTHS_RECEIVING_AN_ADEQUATE_DIET16_17,108,9.15,19.0975,9.9475,-5.7713,34.0187,9,8.33
NFHS_5_FACTSHEETS,CHILDREN_UNDER_5_YEARS_WHO_ARE_STUNTED_HEIGHT_FOR_AGE_18,110,26.15,34.8525,8.7025,13.0962,47.9062,1,0.91
NFHS_5_FACTSHEETS,CHILDREN_UNDER_5_YEARS_WHO_ARE_WASTED_WEIGHT_FOR_HEIGHT_18,110,13.1725,19.5175,6.345,3.655,29.035,0,0.0
NFHS_5_FACTSHEETS,CHILDREN_UNDER_5_YEARS_WHO_ARE_SEVERELY_WASTED_WEIGHT_FOR_HEIGHT_19,110,4.745,8.37,3.625,-0.6925,13.8075,0,0.0
NFHS_5_FACTSHEETS,CHILDREN_UNDER_5_YEARS_WHO_ARE_UNDERWEIGHT_WEIGHT_FOR_AGE_18,110,20.0075,32.0375,12.03,1.9625,50.0825,0,0.0
NFHS_5_FACTSHEETS,CHILDREN_UNDER_5_YEARS_WHO_ARE_OVERWEIGHT_WEIGHT_FOR_HEIGHT_20,110,3.165,5.465,2.3,-0.285,8.915,17,15.45
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_YEARS_WHOSE_BODY_MASS_INDEX_BMI_IS_BELOW_NORMAL_BMI_18_5_KG_M2_21,110,9.7425,18.1275,8.385,-2.835,30.705,1,0.91
NFHS_5_FACTSHEETS,MEN_AGE_15_49_YEARS_WHOSE_BODY_MASS_INDEX_BMI_IS_BELOW_NORMAL_BMI_18_5_KG_M2,110,7.9925,16.205,8.2125,-4.3263,28.5238,1,0.91
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_YEARS_WHO_ARE_OVERWEIGHT_OR_OBESE_BMI_25_0_KG_M2_21,110,20.77,36.21,15.44,-2.39,59.37,0,0.0
NFHS_5_FACTSHEETS,MEN_AGE_15_49_YEARS_WHO_ARE_OVERWEIGHT_OR_OBESE_BMI_25_0_KG_M2,110,19.96,34.3075,14.3475,-1.5612,55.8287,2,1.82
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_YEARS_WHO_HAVE_HIGH_RISK_WAIST_TO_HIP_RATIO_0_85,110,52.5925,68.4175,15.825,28.855,92.155,0,0.0
NFHS_5_FACTSHEETS,MEN_AGE_15_49_YEARS_WHO_HAVE_HIGH_RISK_WAIST_TO_HIP_RATIO_0_90,110,41.41,56.75,15.34,18.4,79.76,2,1.82
NFHS_5_FACTSHEETS,CHILDREN_AGE_6_59_MONTHS_WHO_ARE_ANAEMIC_11_0_G_DL_22,110,54.8125,69.9375,15.125,32.125,92.625,1,0.91
NFHS_5_FACTSHEETS,NON_PREGNANT_WOMEN_AGE_15_49_YEARS_WHO_ARE_ANAEMIC_12_0_G_DL_22,110,46.165,61.9675,15.8025,22.4612,85.6713,3,2.73
NFHS_5_FACTSHEETS,PREGNANT_WOMEN_AGE_15_49_YEARS_WHO_ARE_ANAEMIC_11_0_G_DL_22,101,35.44,54.64,19.2,6.64,83.44,10,9.9
NFHS_5_FACTSHEETS,ALL_WOMEN_AGE_15_49_YEARS_WHO_ARE_ANAEMIC22,111,44.855,61.465,16.61,19.94,86.38,4,3.6
NFHS_5_FACTSHEETS,ALL_WOMEN_AGE_15_19_YEARS_WHO_ARE_ANAEMIC22,110,45.9225,63.5625,17.64,19.4625,90.0225,5,4.55
NFHS_5_FACTSHEETS,MEN_AGE_15_49_YEARS_WHO_ARE_ANAEMIC_13_0_G_DL_22,110,15.36,27.05,11.69,-2.175,44.585,5,4.55
NFHS_5_FACTSHEETS,MEN_AGE_15_19_YEARS_WHO_ARE_ANAEMIC_13_0_G_DL_22,97,21.35,32.98,11.63,3.905,50.425,15,15.46
NFHS_5_FACTSHEETS,WOMEN_AGE_15_YEARS_AND_ABOVE_WITH_HIGH_141_160_MG_DL_BLOOD_SUGAR_LEVEL23,110,5.24,7.225,1.985,2.2625,10.2025,1,0.91
NFHS_5_FACTSHEETS,WOMEN_AGE_15_YEARS_AND_ABOVE_WIH_VERY_HIGH_160_MG_DL_BLOOD_SUGAR_LEVEL23,111,4.54,8.01,3.47,-0.665,13.215,2,1.8
NFHS_5_FACTSHEETS,WOMEN_AGE_15_YEARS_AND_ABOVE_WIH_HIGH_OR_VERY_HIGH_140_MG_DL_BLOOD_SUGAR_LEVEL_OR_TAKING_MEDICINE_TO_CONTROL_BLOOD_SUGAR_LEVEL23,111,10.49,17.43,6.94,0.08,27.84,1,0.9
