A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,COLUMN_2,COLUMN_3,COLUMN_4,COLUMN_5,COLUMN_6,COLUMN_7,COLUMN_8,COLUMN_9,COLUMN_10,COLUMN_11,COLUMN_12,COLUMN_13,COLUMN_14,COLUMN_15
,,,India/ State/ Union Territory/ District/ Sub-district,Name,"Total/
Rural/
Urban",,,,,,,,,
,,,,,,,,,,,,,,
1.0,2.0,8.0,SUB-DISTRICT,Chadoora,Rural,104.0,4.0,0.0,23904.0,164945.0,86218.0,78727.0,172.74,955.0
1.0,2.0,8.0,SUB-DISTRICT,Chadoora,Urban,0.0,0.0,3.0,6486.0,47288.0,27311.0,19977.0,21.93,2156.0
1.0,2.0,9.0,SUB-DISTRICT,Charar- E- Shrief,Total,16.0,1.0,1.0,7054.0,53416.0,28369.0,25047.0,58.85,908.0
1.0,2.0,9.0,SUB-DISTRICT,Charar- E- Shrief,Rural,16.0,1.0,0.0,4956.0,41883.0,22465.0,19418.0,58.05,721.0
1.0,2.0,9.0,SUB-DISTRICT,Charar- E- Shrief,Urban,0.0,0.0,1.0,2098.0,11533.0,5904.0,5629.0,0.8,14416.0
1.0,3.0,0.0,DISTRICT,Leh(Ladakh),Total,111.0,1.0,3.0,21909.0,133487.0,78971.0,54516.0,45110.0,3.0
1.0,3.0,0.0,DISTRICT,Leh(Ladakh),Rural,111.0,1.0,0.0,14905.0,87816.0,48411.0,39405.0,45085.99,2.0
1.0,3.0,0.0,DISTRICT,Leh(Ladakh),Urban,0.0,0.0,3.0,7004.0,45671.0,30560.0,15111.0,24.01,1902.0
1.0,3.0,10.0,SUB-DISTRICT,Leh,Total,60.0,1.0,3.0,15497.0,93961.0,56597.0,37364.0,171.06,549.0
1.0,3.0,10.0,SUB-DISTRICT,Leh,Rural,60.0,1.0,0.0,8493.0,48290.0,26037.0,22253.0,147.05,328.0
1.0,3.0,10.0,SUB-DISTRICT,Leh,Urban,0.0,0.0,3.0,7004.0,45671.0,30560.0,15111.0,24.01,1902.0
1.0,3.0,11.0,SUB-DISTRICT,Nubra,Total,28.0,0.0,0.0,3606.0,22433.0,13740.0,8693.0,166.82,134.0
1.0,3.0,11.0,SUB-DISTRICT,Nubra,Rural,28.0,0.0,0.0,3606.0,22433.0,13740.0,8693.0,166.82,134.0
1.0,3.0,11.0,SUB-DISTRICT,Nubra,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,12.0,SUB-DISTRICT,Khalsi,Total,23.0,0.0,0.0,2806.0,17093.0,8634.0,8459.0,56.01,305.0
1.0,3.0,12.0,SUB-DISTRICT,Khalsi,Rural,23.0,0.0,0.0,2806.0,17093.0,8634.0,8459.0,56.01,305.0
1.0,3.0,12.0,SUB-DISTRICT,Khalsi,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.0,DISTRICT,Kargil,Total,125.0,2.0,1.0,18338.0,140802.0,77785.0,63017.0,14036.0,10.0
1.0,4.0,0.0,DISTRICT,Kargil,Rural,125.0,2.0,0.0,16147.0,124464.0,67703.0,56761.0,14033.86,9.0
1.0,4.0,0.0,DISTRICT,Kargil,Urban,0.0,0.0,1.0,2191.0,16338.0,10082.0,6256.0,2.14,7635.0
1.0,4.0,13.0,SUB-DISTRICT,Kargil,Total,64.0,2.0,1.0,10867.0,86461.0,49431.0,37030.0,84.16,1027.0
1.0,4.0,13.0,SUB-DISTRICT,Kargil,Rural,64.0,2.0,0.0,8676.0,70123.0,39349.0,30774.0,82.02,855.0
1.0,4.0,13.0,SUB-DISTRICT,Kargil,Urban,0.0,0.0,1.0,2191.0,16338.0,10082.0,6256.0,2.14,7635.0
1.0,4.0,14.0,SUB-DISTRICT,Sanku,Total,36.0,0.0,0.0,5144.0,40548.0,21346.0,19202.0,60.49,670.0
1.0,4.0,14.0,SUB-DISTRICT,Sanku,Rural,36.0,0.0,0.0,5144.0,40548.0,21346.0,19202.0,60.49,670.0
1.0,4.0,14.0,SUB-DISTRICT,Sanku,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,15.0,SUB-DISTRICT,Zanskar,Total,25.0,0.0,0.0,2327.0,13793.0,7008.0,6785.0,43.11,320.0
1.0,4.0,15.0,SUB-DISTRICT,Zanskar,Rural,25.0,0.0,0.0,2327.0,13793.0,7008.0,6785.0,43.11,320.0
1.0,4.0,15.0,SUB-DISTRICT,Zanskar,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.0,0.0,DISTRICT,Punch,Total,170.0,8.0,3.0,90261.0,476835.0,251899.0,224936.0,1674.0,285.0
1.0,5.0,0.0,DISTRICT,Punch,Rural,170.0,8.0,0.0,83045.0,438205.0,229774.0,208431.0,1649.92,266.0
1.0,5.0,0.0,DISTRICT,Punch,Urban,0.0,0.0,3.0,7216.0,38630.0,22125.0,16505.0,24.08,1604.0
1.0,5.0,16.0,SUB-DISTRICT,Haveli,Total,49.0,2.0,1.0,25558.0,132767.0,71538.0,61229.0,278.42,477.0
1.0,5.0,16.0,SUB-DISTRICT,Haveli,Rural,49.0,2.0,0.0,20615.0,105913.0,55475.0,50438.0,268.06,395.0
